State,Started on,Completed,Time taken,Grade/10.00,Q. 1 /0.53,Q. 2 /0.53,Q. 3 /0.53,Q. 4 /0.53,Q. 5 /0.53,Q. 6 /0.53,Q. 7 /0.53,Q. 8 /0.53,Q. 9 /0.53,Q. 10 /0.53,Q. 11 /0.53,Q. 12 /0.53,Q. 13 /0.53,Q. 14 /0.53,Q. 15 /0.53,Q. 16 /0.53,Q. 17 /0.53,Q. 18 /0.53,Q. 19 /0.53
Finished,30/9/2024 12:56,2/10/2024 10:36,1 day 21 hours,9.21,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53
Finished,30/9/2024 13:06,5/10/2024 2:11,4 days 13 hours,9.47,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,30/9/2024 13:16,30/9/2024 13:52,36 mins 31 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,30/9/2024 13:26,30/9/2024 13:56,30 mins 2 secs,9.87,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Never submitted,30/9/2024 13:50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Finished,30/9/2024 14:22,4/10/2024 16:10,4 days 1 hour,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,30/9/2024 14:22,30/9/2024 18:24,4 hours 1 min,6.97,0.26,0.53,0.53,0.53,0.53,0,0.53,0.26,0.53,0.39,0.26,0.53,0,0,0.53,0.53,0,0.53,0.53
Finished,30/9/2024 14:22,30/9/2024 14:35,12 mins 33 secs,7.89,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0,0,0,0.53,0.53,0.53,0.53
Finished,30/9/2024 14:23,30/9/2024 17:21,2 hours 58 mins,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,30/9/2024 14:23,30/9/2024 20:31,6 hours 8 mins,8.16,0.53,0.53,0.53,0.53,0,0,0.53,0.53,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0,0.53,0.53
Finished,30/9/2024 14:23,3/10/2024 14:13,2 days 23 hours,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,30/9/2024 14:25,30/9/2024 14:39,13 mins 41 secs,8.95,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0,0.53
Finished,30/9/2024 14:28,30/9/2024 14:34,6 mins 31 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,30/9/2024 14:41,30/9/2024 15:03,22 mins 33 secs,8.68,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0,0,0.53,0.53,0.53,0.53,0.53
Finished,30/9/2024 14:41,30/9/2024 15:03,21 mins 55 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,30/9/2024 14:45,30/9/2024 15:03,18 mins 57 secs,8.42,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0.53,0.53,0.53,0.53,0.53
Finished,30/9/2024 15:04,30/9/2024 15:26,21 mins 36 secs,9.87,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,30/9/2024 16:39,30/9/2024 16:57,18 mins 36 secs,9.21,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53
Finished,30/9/2024 18:34,30/9/2024 18:50,16 mins 14 secs,4.74,0.53,0.53,0.53,0,0,0,0,0.39,0.26,0.39,0.53,0.53,0,0,0,0.53,0.53,0,0
Never submitted,30/9/2024 19:43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Finished,30/9/2024 20:45,30/9/2024 21:30,45 mins 7 secs,7.63,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0.53,0,0.53,0,0.53
Finished,30/9/2024 21:36,30/9/2024 21:51,14 mins 56 secs,3.95,0.26,0.53,0,0,0,0,0,0.26,0.26,0.26,0.26,0.53,0.53,0.53,0,0.53,0,0,0
Finished,30/9/2024 22:20,1/10/2024 22:54,1 day,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,1/10/2024 9:55,1/10/2024 10:16,21 mins 19 secs,9.74,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.39,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,1/10/2024 13:36,1/10/2024 13:59,23 mins 21 secs,6.58,0.53,0.53,0,0.53,0.53,0,0.53,0.53,0.53,0.53,0.26,0.53,0,0,0.53,0.53,0,0.53,0
Finished,1/10/2024 19:22,1/10/2024 19:58,36 mins 45 secs,4.87,0.26,0.53,0.53,0.53,0,0,0.53,0.26,0.26,0.39,0.53,0,0,0,0,0.53,0,0.53,0
Never submitted,1/10/2024 20:32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Finished,1/10/2024 20:35,1/10/2024 21:14,39 mins 1 sec,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,1/10/2024 20:47,1/10/2024 21:31,44 mins 24 secs,7.76,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0,0.53,0,0,0
Finished,1/10/2024 23:53,2/10/2024 0:04,10 mins 50 secs,4.34,0.26,0,0,0,0.53,0,0,0.39,0.53,0.26,0.26,0.53,0,0,0.53,0,0.53,0,0.53
Finished,2/10/2024 5:44,2/10/2024 6:10,25 mins 21 secs,9.34,0.53,0.53,0,0.53,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,2/10/2024 8:50,2/10/2024 10:17,1 hour 27 mins,4.87,0.26,0,0.53,0,0,0,0,0.53,0.26,0.39,0.26,0.53,0,0,0,0.53,0.53,0.53,0.53
Finished,2/10/2024 9:09,2/10/2024 10:03,54 mins 49 secs,9.61,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,2/10/2024 11:30,4/10/2024 16:11,2 days 4 hours,9.34,0.53,0.53,0.53,0.53,0.53,0,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,2/10/2024 13:53,2/10/2024 14:16,23 mins 9 secs,9.74,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,2/10/2024 13:57,2/10/2024 14:24,26 mins 23 secs,5.92,0.26,0,0,0.53,0.53,0.53,0.53,0.26,0.26,0.39,0.53,0.53,0,0,0.53,0,0.53,0,0.53
Never submitted,2/10/2024 14:14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Finished,2/10/2024 16:18,2/10/2024 16:51,33 mins,7.76,0.53,0.53,0.53,0,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53,0.53,0,0
Finished,2/10/2024 16:56,2/10/2024 17:12,16 mins 3 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,2/10/2024 19:23,2/10/2024 19:42,19 mins 2 secs,5.92,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.39,0.26,0.53,0,0,0,0,0,0,0
Finished,2/10/2024 21:06,2/10/2024 21:25,18 mins 11 secs,6.58,0.26,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0,0.53,0.53,0,0
Finished,2/10/2024 21:09,2/10/2024 21:26,17 mins 16 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,2/10/2024 21:18,2/10/2024 21:28,10 mins 21 secs,5,0.26,0.53,0,0.53,0,0,0.53,0.53,0.53,0.53,0.53,0.53,0,0,0.53,0,0,0,0
Finished,3/10/2024 7:32,3/10/2024 7:49,16 mins 48 secs,9.34,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,3/10/2024 16:54,3/10/2024 17:07,12 mins 24 secs,4.08,0.26,0,0,0,0,0,0,0.39,0.53,0.53,0.53,0.26,0,0,0.53,0.53,0,0.53,0
Finished,3/10/2024 17:25,4/10/2024 8:59,15 hours 33 mins,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,3/10/2024 20:02,3/10/2024 20:24,21 mins 22 secs,9.47,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53
Finished,3/10/2024 20:13,3/10/2024 20:46,32 mins 56 secs,9.61,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.39,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,3/10/2024 21:03,3/10/2024 21:32,28 mins 27 secs,7.5,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.39,0.53,0.26,0.53,0.53,0,0,0,0.53,0,0.53,0.53
Finished,3/10/2024 21:58,3/10/2024 22:13,14 mins 22 secs,7.37,0.53,0.53,0.53,0,0.53,0.53,0,0.53,0.53,0.53,0.53,0.53,0,0,0.53,0.53,0,0.53,0.53
Finished,3/10/2024 22:32,3/10/2024 22:51,19 mins 3 secs,9.47,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,3/10/2024 23:15,3/10/2024 23:31,15 mins 28 secs,8.82,0.53,0.53,0.53,0.53,0,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53,0.53
Finished,3/10/2024 23:41,4/10/2024 0:10,28 mins 39 secs,7.63,0.53,0.53,0,0.53,0,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0,0.53,0.53,0
Finished,4/10/2024 0:08,4/10/2024 0:22,14 mins 25 secs,9.74,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,4/10/2024 7:33,5/10/2024 23:29,1 day 15 hours,9.47,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,4/10/2024 9:33,4/10/2024 17:48,8 hours 14 mins,6.32,0.26,0,0.53,0.53,0.53,0,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0,0.53,0,0,0
Finished,4/10/2024 15:40,5/10/2024 19:00,1 day 3 hours,9.34,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.26,0.53,0.39,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,4/10/2024 17:03,4/10/2024 17:31,28 mins 22 secs,8.82,0.26,0.53,0,0.53,0.53,0.53,0.53,0.53,0.26,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,4/10/2024 19:35,4/10/2024 20:07,32 mins,9.34,0.53,0.53,0.53,0.53,0,0.53,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,4/10/2024 20:03,4/10/2024 20:31,28 mins 18 secs,8.42,0.26,0,0.53,0.53,0,0.53,0.53,0.53,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,4/10/2024 20:55,4/10/2024 21:22,27 mins 4 secs,8.95,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0,0.53,0.53,0
Finished,4/10/2024 21:35,4/10/2024 21:47,12 mins 12 secs,6.71,0.26,0.53,0,0,0,0,0,0.53,0.26,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,5/10/2024 11:13,5/10/2024 11:28,15 mins 47 secs,9.08,0.26,0.53,0.53,0,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,5/10/2024 13:09,5/10/2024 13:28,19 mins 41 secs,10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
Finished,5/10/2024 16:49,5/10/2024 17:46,56 mins 36 secs,5.79,0.53,0.53,0.53,0.53,0.53,0,0,0.53,0,0.53,0.53,0.53,0,0,0,0.53,0.53,0,0
Finished,5/10/2024 17:08,5/10/2024 17:32,24 mins 2 secs,5.39,0.26,0,0.53,0.53,0,0,0.53,0.39,0.26,0.53,0,0.26,0,0,0.53,0.53,0.53,0,0.53
Finished,5/10/2024 20:28,5/10/2024 20:48,20 mins 7 secs,5.79,0.53,0.53,0.53,0.53,0,0,0.53,0.53,0.26,0.53,0.53,0.26,0,0,0,0.53,0,0,0.53
Finished,5/10/2024 21:01,5/10/2024 21:23,21 mins 34 secs,6.32,0.26,0.53,0.53,0,0.53,0,0.53,0.53,0.53,0.26,0,0.53,0,0,0.53,0.53,0.53,0.53,0
Finished,5/10/2024 23:11,5/10/2024 23:26,14 mins 27 secs,4.34,0.26,0,0.53,0.53,0,0,0.53,0.26,0.26,0.39,0,0.53,0.53,0.53,0,0,0,0,0
Finished,5/10/2024 23:16,5/10/2024 23:48,31 mins 17 secs,9.08,0.26,0.53,0.53,0.53,0.53,0.53,0.53,0.39,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0
